"A","278-A1","","","","","","","","","","","4256","","It is required that separate transaction sets be used for different patients."
"C","278-A1","6","1200","CR1","10","","","","","2","1200","","F","Stretcher Purpose Description"
"B","278-A1","6","1300","","","","","","","2","1300","4289","E","CR2*1*5**********Y~"
"B","278-A1","6","1300","","","","","","","2","1300","4450","A","Spinal Manipulation Service Information"
"B","278-A1","6","1300","","","","","","","2","1300","4451","","Required when requesting certification for spinal manipulation services (UM01=HS) when the patient's condition or treatment involves subluxation. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","01","","","","","2","1300","4543","D","Required when requesting certification for a specific treatment number in a series of treatments. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","01","","","","","2","1300","","F","Treatment Series Number"
"C","278-A1","6","1300","CR2","02","","","","","2","1300","4543","D","Required when requesting certification for a specific treatment number in a series of treatments. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","02","","","","","2","1300","","F","Treatment Count"
"C","278-A1","6","1300","CR2","03","","","","","2","1300","4452","D","Required when the patient's condition or treatment involves subluxation. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","03","","","","","2","1300","","F","Subluxation Level Code"
"C","278-A1","6","1300","CR2","04","","","","","2","1300","4527","D","Required when the patient's condition or treatment involves subluxation to express the ending level of subluxation. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","04","","","","","2","1300","","F","Subluxation Level Code"
"C","278-A1","6","1300","CR2","08","","","","","2","1300","","F","Patient Condition Code"
"C","278-A1","6","1300","CR2","09","","","","","2","1300","","F","Complication Indicator"
"C","278-A1","6","1300","CR2","10","","","","","2","1300","4764","D","Required when necessary to clarify patient condition. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","10","","","","","2","1300","","F","Patient Condition Description"
"C","278-A1","6","1300","CR2","11","","","","","2","1300","4764","D","Required when necessary to clarify patient condition. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","11","","","","","2","1300","","F","Patient Condition Description"
"C","278-A1","6","1300","CR2","12","","","","","2","1300","4822","D","Required when X-rays are available. If not required by this implementation guide, do not send."
"C","278-A1","6","1300","CR2","12","","","","","2","1300","","F","X-ray Availability Indicator"
"B","278-A1","6","1400","","","","","","","2","1400","4290","E","CR5***D***1*****87*N*****A~"
"B","278-A1","6","1400","","","","","","","2","1400","4360","A","Home Oxygen Therapy Information"
"B","278-A1","6","1400","","","","","","","2","1400","4458","","Required when requesting initial, extended, or revised certification of;home oxygen therapy. If not required by this implementation guide, do not send."
"B","278-A1","6","1400","","","","","","","2","1400","4459","","Use the UM segment data element UM02 instead of CR501 to specify the;Certification Type Code."
"B","278-A1","6","1400","","","","","","","2","1400","4460","","Use the HSD segment instead of CR502 to specify the treatment period."
"C","278-A1","6","1400","CR5","03","","","","","2","1400","","F","Oxygen Equipment Type Code"
"C","278-A1","6","1400","CR5","04","","","","","2","1400","4462","D","Required when CR503 is present and more than one type of equipment is;required to administer the oxygen therapy. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","04","","","","","2","1400","","F","Oxygen Equipment Type Code"
"C","278-A1","6","1400","CR5","05","","","","","2","1400","4535","D","Required when needed to provide additional information that could impact the medical decision. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","05","","","","","2","1400","","F","Equipment Reason Description"
"C","278-A1","6","1400","CR5","06","","","","","2","1400","","F","Oxygen Flow Rate"
"C","278-A1","6","1400","CR5","07","","","","","2","1400","4463","D","Required when daily oxygen use count is relevant to the type of home oxygen therapy requested. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","07","","","","","2","1400","","F","Daily Oxygen Use Count"
"C","278-A1","6","1400","CR5","08","","","","","2","1400","4463","D","Required when daily oxygen use count is relevant to the type of home oxygen therapy requested. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","08","","","","","2","1400","","F","Oxygen Use Period Hour Count"
"C","278-A1","6","1400","CR5","09","","","","","2","1400","4765","D","Required when necessary to convey special orders for the respiratory therapist. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","09","","","","","2","1400","","F","Respiratory Therapist Order Text"
"C","278-A1","6","1400","CR5","10","","","","","2","1400","4464","","Either CR510 or CR511 is required."
"C","278-A1","6","1400","CR5","10","","","","","2","1400","4766","D","Required when arterial blood gas quantity is relevant to the type of home oxygen therapy requested. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","10","","","","","2","1400","","F","Arterial Blood Gas Quantity"
"C","278-A1","6","1400","CR5","11","","","","","2","1400","4464","","Either CR510 or CR511 is required."
"C","278-A1","6","1400","CR5","11","","","","","2","1400","4766","D","Required when arterial blood gas quantity is relevant to the type of home oxygen therapy requested. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","11","","","","","2","1400","","F","Oxygen Saturation Quantity"
"C","278-A1","6","1400","CR5","12","","","","","2","1400","4767","D","Required when reporting oxygen test results. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","12","","","","","2","1400","","F","Oxygen Test Condition Code"
"C","278-A1","6","1400","CR5","13","","","","","2","1400","4465","D","Required when patient's arterial PO<Bv>2<BI> is greater than 55 mmHg and less than 60 mmHg, or oxygen saturation is greater than 88%. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","13","","","","","2","1400","","F","Oxygen Test Findings Code"
"C","278-A1","6","1400","CR5","14","","","","","2","1400","4823","D","Required when patient's arterial PO<Bv>2<BI> is greater than 55 mmHg and less than 60 mmHg, or oxygen saturation is greater than 88%, and more than one finding is applicable. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","14","","","","","2","1400","","F","Oxygen Test Findings Code"
"C","278-A1","6","1400","CR5","15","","","","","2","1400","4824","D","Required when patient's arterial PO<Bv>2<BI> is greater than 55 mmHg and less than 60 mmHg, or oxygen saturation is greater than 88%, and more than two findings are applicable. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","15","","","","","2","1400","","F","Oxygen Test Findings Code"
"C","278-A1","6","1400","CR5","16","","","","","2","1400","4466","D","Required when either CR503, CR504 or CR518 = ""D"" (Liquid Portable) or ""E"" (Gaseous Portable). If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","16","","","","","2","1400","","F","Portable Oxygen System Flow Rate"
"C","278-A1","6","1400","CR5","17","","","","","2","1400","","F","Oxygen Delivery System Code"
"C","278-A1","6","1400","CR5","18","","","","","2","1400","4768","D","Required when CR503 and CR504 are present and more than two types of equipment are required to administer the oxygen therapy. If not required by this implementation guide, do not send."
"C","278-A1","6","1400","CR5","18","","","","","2","1400","","F","Oxygen Equipment Type Code"
"B","278-A1","6","1500","","","","","","","2","1500","4361","A","Home Health Care Information"
"B","278-A1","6","1500","","","","","","","2","1500","4467","","Required when requesting for certification of home health care, private duty nursing, or services by a nurses' agency. If not required by this implementation guide, do not send."
"B","278-A1","6","1500","","","","","","","2","1500","4528","E","CR6*7*20050429****N*N*I~"
"B","278-A1","6","1500","","","","","","","2","1500","4575","","Requests for home health care must include a principal diagnosis (HI01=BK) and principal diagnosis date in the HI segment in Loop 2000E, Patient Event."
"C","278-A1","6","1500","CR6","01","","","","","2","1500","","F","Prognosis Code"
"C","278-A1","6","1500","CR6","02","","","","","2","1500","","F","Home Health Start Date"
"C","278-A1","6","1500","CR6","03","","","","","2","1500","4759","D","Required when the event date has not been identified in DTP, Event Date in this loop and the duration of this plan of treatment is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","03","","","","","2","1500","","F","Date Time Period Format Qualifier"
"C","278-A1","6","1500","CR6","04","","","","","2","1500","4759","D","Required when the event date has not been identified in DTP, Event Date in this loop and the duration of this plan of treatment is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","04","","","","","2","1500","","F","Home Health Certification Period"
"C","278-A1","6","1500","CR6","07","","","","","2","1500","","F","Medicare Coverage Indicator"
"C","278-A1","6","1500","CR6","08","","","","","2","1500","4469","","This element must have the same value as UM02."
"C","278-A1","6","1500","CR6","08","","","","","2","1500","","F","Certification Type Code"
"E","278-A1","6","1500","CR6","08","","","1322","1","2","1500","4540","","Use this value only for appeals of review decisions where the level of service required is emergency or urgent."
"E","278-A1","6","1500","CR6","08","","","1322","2","2","1500","4434","","Use this value for appeals of review decisions where the level of service required is not emergency or urgent."
"E","278-A1","6","1500","CR6","08","","","1322","4","2","1500","4725","","Indicates that this is an extension request to a prior approved service."
"E","278-A1","6","1500","CR6","08","","","1322","6","2","1500","4726","","This code is used to request the UMO to reconsider a previously denied referral or certification request."
"E","278-A1","6","1500","CR6","08","","","1322","R","2","1500","4727","","Indicates that this is a request to renew a prior approved service."
"E","278-A1","6","1500","CR6","08","","","1322","S","2","1500","4728","","Use if the requester is revising the specifics of a certification for which services have not been rendered."
"C","278-A1","6","1500","CR6","09","","","","","2","1500","4868","D","Required when home health care is related to a specific surgical procedure, the surgery date is known, and the surgical procedure code is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","09","","","","","2","1500","","F","Surgery Date"
"C","278-A1","6","1500","CR6","10","","","","","2","1500","4868","D","Required when home health care is related to a specific surgical procedure, the surgery date is known, and the surgical procedure code is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","10","","","","","2","1500","","F","Product or Service ID Qualifier"
"E","278-A1","6","1500","CR6","10","","","235","HC","2","1500","4480","","Because the AMA's CPT codes are also level 1 HCPCS codes, they are reported under HC."
"C","278-A1","6","1500","CR6","11","","","","","2","1500","4868","D","Required when home health care is related to a specific surgical procedure, the surgery date is known, and the surgical procedure code is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","11","","","","","2","1500","","F","Surgical Procedure Code"
"C","278-A1","6","1500","CR6","12","","","","","2","1500","4769","D","Required when the requester received verbal orders from the physician for the start of home health care and the date when the order was received is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","12","","","","","2","1500","","F","Physician Order Date"
"C","278-A1","6","1500","CR6","13","","","","","2","1500","4825","D","Required when the date the patient was last seen by the physician is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","13","","","","","2","1500","","F","Last Visit Date"
"C","278-A1","6","1500","CR6","14","","","","","2","1500","4826","D","Required when the physician has been contacted by the home health service provider. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","14","","","","","2","1500","","F","Physician Contact Date"
"C","278-A1","6","1500","CR6","15","","","","","2","1500","4869","D","Required when home health care is associated with a recent inpatient stay, the admission stay date is known, and the facility type is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","15","","","","","2","1500","","F","Date Time Period Format Qualifier"
"C","278-A1","6","1500","CR6","16","","","","","2","1500","4869","D","Required when home health care is associated with a recent inpatient stay, the admission stay date is known, and the facility type is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","16","","","","","2","1500","","F","Last Admission Period"
"C","278-A1","6","1500","CR6","17","","","","","2","1500","4869","D","Required when home health care is associated with a recent inpatient stay, the admission stay date is known, and the facility type is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1500","CR6","17","","","","","2","1500","","F","Patient Location Code"
"B","278-A1","6","1550","","","","","","","2","1550","4546","A","Additional Patient Information"
"B","278-A1","6","1550","","","","","","","2","1550","4547","E","PWK*OB*BM***AC*DMN0012~"
"B","278-A1","6","1550","","","","","","","2","1550","4548","","Required when needed to report missing teeth on requests for dental services, or if the requester has additional documentation (electronic, paper, or other medium) associated with this health care services review that applies to the patient event and/or all the services requested and the 278 request (ST-SE) does not support this information in its segments and data elements. If not required by this implementation guide, do not send."
"B","278-A1","6","1550","","","","","","","2","1550","4549","","This PWK segment is required to identify attachments that are sent electronically (PWK02 = EL) but are transmitted in another X12 functional group rather than by paper or other medium. PWK06 is used to identify the attached electronic documentation. The number in PWK06 would be referenced in the electronic attachment."
"B","278-A1","6","1550","","","","","","","2","1550","4550","","The requester can also use this PWK segment to identify paperwork that is held at the provider's office and is available upon request by the UMO (or appropriate entity). Use code AA in PWK02 to convey this specific use of the PWK segment. See code note under PWK02, code AA.<R>
Refer to Section 2.5 for more information on using this PWK segment."
"C","278-A1","6","1550","PWK","01","","","","","2","1550","","F","Attachment Report Type Code"
"E","278-A1","6","1550","PWK","01","","","755","07","2","1550","4551","","Expected outcomes of rehabilitative services."
"E","278-A1","6","1550","PWK","01","","","755","55","2","1550","4552","","Use for medical or dental equipment rental."
"E","278-A1","6","1550","PWK","01","","","755","AM","2","1550","4553","","Information to support necessity of ambulance trip."
"E","278-A1","6","1550","PWK","01","","","755","AS","2","1550","4554","","A brief patient summary; it lists the patient's chief complaints and the reasons for admitting the patient to the hospital."
"E","278-A1","6","1550","PWK","01","","","755","AT","2","1550","4555","","Use for purchase of medical or dental equipment."
"E","278-A1","6","1550","PWK","01","","","755","CB","2","1550","4556","","Lists the reasons chiropractic is just and appropriate treatment."
"E","278-A1","6","1550","PWK","01","","","755","P6","2","1550","4770","","Required when using the PWK segment to provide missing teeth information."
"C","278-A1","6","1550","PWK","02","","","","","2","1550","","F","Report Transmission Code"
"E","278-A1","6","1550","PWK","02","","","756","AA","2","1550","4771","","Required when using the PWK segment to provide missing teeth information.<R>
This means that the paperwork is not being sent with the request at this time. Instead, it is available to the UMO (or appropriate entity) on request."
"E","278-A1","6","1550","PWK","02","","","756","EL","2","1550","4558","","Use to indicate that the attachment is being transmitted in a separate X12 functional group."
"E","278-A1","6","1550","PWK","02","","","756","VO","2","1550","4559","","Use this for voicemail or phone communication."
"C","278-A1","6","1550","PWK","05","","","","","2","1550","4561","D","Required when PWK02 equals BM, EL, EM or FX. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","1550","PWK","05","","","","","2","1550","","F","Identification Code Qualifier"
"C","278-A1","6","1550","PWK","06","","","","","2","1550","4561","D","Required when PWK02 equals BM, EL, EM or FX. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","1550","PWK","06","","","","","2","1550","4772","","The requester can use it when PWK02 equals ""AA"" if the requester wants to send a document control number for an attachment remaining at the Provider's office."
"C","278-A1","6","1550","PWK","06","","","","","2","1550","","F","Attachment Control Number"
"C","278-A1","6","1550","PWK","07","","","","","2","1550","4773","D","Required when needed to report tooth number(s) of missing teeth or if needed to add any additional information about the attachment described in this segment. If not required by this implementation guide, do not send."
"C","278-A1","6","1550","PWK","07","","","","","2","1550","4774","","To report tooth number(s) for missing teeth, use a variable length format. Allocate two (2) bytes for each missing tooth. When reporting tooth numbers 1 through 9, zero fill the first byte so the field will be 01, 02, etc. When reporting primary dentition (A through P), pad the second byte with a space."
"C","278-A1","6","1550","PWK","07","","","","","2","1550","","F","Attachment Description"
"B","278-A1","6","1600","","","","","","","2","1600","4418","A","Message Text"
"B","278-A1","6","1600","","","","","","","2","1600","4512","E","MSG*This is a free-form text message~"
"B","278-A1","6","1600","","","","","","","2","1600","4646","","Required when needed to transmit a text message to the UMO about the patient event. If not required by this implementation guide, do not send."
"B","278-A1","6","1600","","","","","","","2","1600","4647","","Do not use the MSG segment to relay information that you can send using codified information in existing data elements. If you need to use the MSG segment, you should approach X12N with data maintenance to solve the business need without the use of the MSG segment."
"C","278-A1","6","1600","MSG","01","","","","","2","1600","","F","Free Form Message Text"
"B","278-A1","6","1700","","","","","","","2","1700","4275","E","NM1*SJ*1*WATSON*SUSAN****34*987654321~"
"B","278-A1","6","1700","","","","","","","2","1700","4585","A","Patient Event Provider Name"
"B","278-A1","6","1700","","","","","","","2","1700","4729","","If Loop 2000F is not valued, this segment conveys the name and identification number of the service provider (person, group, or facility) specialist, or specialty entity to provide services to the patient for this patient event."
"B","278-A1","6","1700","","","","","","","2","1700","4730","","If Loop 2000F is valued, the providers identified in this Loop 2010EA apply to all the services identified in Loop 2000F unless Loop 2010F is valued. Providers identified in Loop 2010F override the providers identified in Loop 2010EA for that service only."
"B","278-A1","6","1700","","","","","","","2","1700","4827","","Required when loop 2000E UM01 = AR (Admission Review) or when loop 2000F is not valued or when loop 2000F is valued and at least one occurrence of loop 2000F does not contain a 2010F loop. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"E","278-A1","6","1700","NM1","01","","","98","DN","2","1700","4775","","Do not use if the entity identified in 2010B is the referring provider."
"C","278-A1","6","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A1","6","1700","NM1","03","","","","","2","1700","4419","D","Required when identifying a specialty person, facility, group practice, or clinic and NM108/NM109 are not present. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","1700","NM1","03","","","","","2","1700","","F","Patient Event Provider Last or Organization Name"
"C","278-A1","6","1700","NM1","04","","","","","2","1700","4731","D","Required when the service provider is a specific person (NM102 = 1);and NM103 is present. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","04","","","","","2","1700","","F","Patient Event Provider First Name"
"C","278-A1","6","1700","NM1","05","","","","","2","1700","4732","D","Required when NM104 is present and the middle name/initial of the;person is known. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","05","","","","","2","1700","","F","Patient Event Provider Middle Name"
"C","278-A1","6","1700","NM1","06","","","","","2","1700","4828","D","Required when military title or rank further identifies the provider.  If not required by this implementation, may be provided at the sender's discretion, but cannot be required by the receiver."
"C","278-A1","6","1700","NM1","06","","","","","2","1700","","F","Patient Event Provider Name Prefix"
"C","278-A1","6","1700","NM1","07","","","","","2","1700","4681","D","Required when NM104 is present and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","07","","","","","2","1700","","F","Patient Event Provider Name Suffix"
"C","278-A1","6","1700","NM1","08","","","","","2","1700","4422","D","Required when requesting the services of a specific person, facility, group practice, or clinic and the provider ID is known by the requester. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-A1","6","1700","NM1","08","","","66","XX","2","1700","4908","","Required for providers on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has an NPI and it is available to the submitter.
OR
Required for providers before the mandated HIPAA NPI implementation date when the provider has an NPI and the submitter has the capability to send it.
If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","09","","","","","2","1700","4422","D","Required when requesting the services of a specific person, facility, group practice, or clinic and the provider ID is known by the requester. If not required by this implementation guide, do not send."
"C","278-A1","6","1700","NM1","09","","","","","2","1700","","F","Patient Event Provider Identifier"
"B","278-A1","6","1800","","","","","","","2","1800","4276","E","REF*1G*12345~"
"B","278-A1","6","1800","","","","","","","2","1800","4587","A","Patient Event Provider Supplemental Information"
"B","278-A1","6","1800","","","","","","","2","1800","4829","","Use the NM1 Segment for the primary identifier."
"B","278-A1","6","1800","","","","","","","2","1800","4909","","Required on or after the mandated implementation date for the HIPAA National Provider Identifier (NPI) when the provider is not a specialty entity and the NPI is not reported in NM109 of this loop and another identifier is available to the submitter.<R>OR<R>Required prior to the mandated NPI implementation date when an additional identification number to the NPI provided in NM109 of this loop is necessary for the UMO to identify the patient event provider.<R>OR<R>Required prior to the mandated NPI implementation date when necessary for the UMO to identify the patient event provider.<R>If not required by this implementation guide, do not send."
"C","278-A1","6","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-A1","6","1800","REF","01","","","128","EI","2","1800","4423","","Not used if NM108 = 24."
"E","278-A1","6","1800","REF","01","","","128","SY","2","1800","4537","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-A1","6","1800","REF","01","","","128","ZH","2","1800","4885","","Use when the requestor has not been assigned an NPI, or NPI is not mandated for use and the UMO identified in loop 2010A has assigned its own identifier for this provider."
"C","278-A1","6","1800","REF","02","","","","","2","1800","","F","Patient Event Provider Supplemental Identifier"
"C","278-A1","6","1800","REF","03","","","","","2","1800","4776","D","Required when REF01 = 0B to report the two character state ID of the state assigning the State License Number. If not required by this implementation guide, do not send."
"C","278-A1","6","1800","REF","03","","","","","2","1800","","F","License Number State Code"
"B","278-A1","6","2000","","","","","","","2","2000","4277","E","N3*77 HOLLY BLVD~"
"B","278-A1","6","2000","","","","","","","2","2000","4588","A","Patient Event Provider Address"
"B","278-A1","6","2000","","","","","","","2","2000","4831","","Required when the provider has multiple locations to identify the specific location for this patient event. If not required by this implementation guide, do not send."
"C","278-A1","6","2000","N3","01","","","","","2","2000","4424","","Use this element for the first line of the provider's address."
"C","278-A1","6","2000","N3","01","","","","","2","2000","","F","Patient Event Provider Address Line"
"C","278-A1","6","2000","N3","02","","","","","2","2000","4691","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-A1","6","2000","N3","02","","","","","2","2000","","F","Patient Event Provider Address Line"
"B","278-A1","6","2100","","","","","","","2","2100","4872","E","N4*KANSAS CITY*MO*64108~"
"B","278-A1","6","2100","","","","","","","2","2100","4911","","Required when the provider has multiple locations to identify the specific location for this patient event. If not required by this implementation guide, do not send."
"B","278-A1","6","2100","","","","","","","2","2100","2212","A","Patient Event Provider City, State, ZIP Code"
"C","278-A1","6","2100","N4","01","","","","","2","2100","","F","Patient Event Provider City Name"
"C","278-A1","6","2100","N4","02","","","","","2","2100","4873","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-A1","6","2100","N4","02","","","","","2","2100","","F","Patient Event Provider State Code"
"C","278-A1","6","2100","N4","03","","","","","2","2100","4874","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-A1","6","2100","N4","03","","","","","2","2100","","F","Patient Event Provider Postal Zone or ZIP Code"
"C","278-A1","6","2100","N4","04","","","","","2","2100","4875","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-A1","6","2100","N4","04","","","","","2","2100","4876","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-A1","6","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-A1","6","2100","N4","07","","","","","2","2100","4877","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-A1","6","2100","N4","07","","","","","2","2100","4878","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-A1","6","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-A1","6","2200","","","","","","","2","2200","4279","E","PER*IC*M TUCKER*TE*8189993456*FX*8188769304~"
"B","278-A1","6","2200","","","","","","","2","2200","4510","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"B","278-A1","6","2200","","","","","","","2","2200","4589","A","Patient Event Provider Contact Information"
"B","278-A1","6","2200","","","","","","","2","2200","4832","","Required when needed to identify a contact name and/or communications number for the provider. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-A1","6","2200","PER","02","","","","","2","2200","4425","D","Required when the requester needs to indicate a particular contact. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","02","","","","","2","2200","4511","","Use this data element when the name of the individual to contact is not already defined or is different than the name within the prior name segment (e.g. N1 or NM1). If not required, do not send."
"C","278-A1","6","2200","PER","02","","","","","2","2200","","F","Patient Event Provider Contact Name"
"C","278-A1","6","2200","PER","03","","","","","2","2200","4833","D","Required when PER02 is not valued or when the provider needs to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"C","278-A1","6","2200","PER","04","","","","","2","2200","4833","D","Required when PER02 is not valued or when the provider needs to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","04","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"C","278-A1","6","2200","PER","05","","","","","2","2200","4733","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A1","6","2200","PER","05","","","365","EX","2","2200","4426","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-A1","6","2200","PER","06","","","","","2","2200","4733","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","06","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"C","278-A1","6","2200","PER","07","","","","","2","2200","4733","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A1","6","2200","PER","07","","","365","EX","2","2200","4426","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-A1","6","2200","PER","08","","","","","2","2200","4733","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A1","6","2200","PER","08","","","","","2","2200","","F","Patient Event Provider Contact Communications Number"
"B","278-A1","6","2400","","","","","","","2","2400","4590","A","Patient Event Provider Information"
"B","278-A1","6","2400","","","","","","","2","2400","4670","E","PRV*PE*PXC*203BS0133X~"
"B","278-A1","6","2400","","","","","","","2","2400","4834","","Required when request is for services of a specialist or specialty entity to indicate the provider's specialty. If not required by this implementation guide, may be provided a the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"E","278-A1","6","2400","PRV","01","","","1221","AD","2","2400","4648","","Use only when NM101 = AAJ."
"E","278-A1","6","2400","PRV","01","","","1221","AS","2","2400","4649","","Use only when NM101 = DD."
"E","278-A1","6","2400","PRV","01","","","1221","AT","2","2400","4650","","Use only when NM101 = 71."
"E","278-A1","6","2400","PRV","01","","","1221","OP","2","2400","4651","","Use only when NM101 = 72."
"E","278-A1","6","2400","PRV","01","","","1221","OR","2","2400","4652","","Use only when NM101 = DK."
"E","278-A1","6","2400","PRV","01","","","1221","OT","2","2400","4653","","Use only when NM101 = 73."
"E","278-A1","6","2400","PRV","01","","","1221","PC","2","2400","4654","","Use only when NM101 = P3."
"E","278-A1","6","2400","PRV","01","","","1221","PE","2","2400","4655","","Use only when NM101 = SJ."
"E","278-A1","6","2400","PRV","01","","","1221","RF","2","2400","4656","","Use only when NM101 = DN."
"C","278-A1","6","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-A1","6","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-A1","6","2800","","","","","","","2","1700","4835","A","Patient Event Transport Information"
"B","278-A1","6","2800","","","","","","","2","1700","4836","E","NM1*PW*2*PATIENT DIALYSIS CENT~"
"B","278-A1","6","2800","","","","","","","2","1700","4837","","Required when Health Care Service Review is requesting transport of the patient. If not required by this implementation guide, do not send."
"B","278-A1","6","2800","","","","","","","2","1700","4838","","At least two iterations of this loop are necessary to indicate the pick up address, NM101 = PW, and the final scheduled destination, NM101 = FS."
"B","278-A1","6","2800","","","","","","","2","1700","4839","","When the transport includes more than one destination, the following NM101 values are used to determine the sequence of stops:<R>
a. ND is used to indicate the first stop
b. R3 is used to indicate the second stop
c. 45 is used to indicate the third stop"
"B","278-A1","6","2800","","","","","","","2","1700","4886","E","NM1*FS*2~"
"C","278-A1","6","2800","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A1","6","2800","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
