"A","278-B1","","","","","","","","","","","3091","","It is required that separate transaction sets be used for different patients."
"C","278-B1","6","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B1","6","0300","AAA","03","","","901","15","2","0300","3375","","Use when data is missing that is not covered by another Reject Reason Code. For example, use for missing procedure codes and procedure dates."
"E","278-B1","6","0300","AAA","03","","","901","33","2","0300","3446","","Use for input errors in the service data not covered by the other reject reason codes listed. For example, use for invalid place of service codes and invalid diagnosis codes and diagnosis dates."
"E","278-B1","6","0300","AAA","03","","","901","52","2","0300","3447","","Use for Event Date(s)."
"E","278-B1","6","0300","AAA","03","","","901","56","2","0300","3448","","Use when the type of date (Accident, Last Menstrual Period, Estimated Date of Birth, Onset of Current Symptoms or Illness) used on the request is inconsistent with the patient condition or services requested."
"E","278-B1","6","0300","AAA","03","","","901","57","2","0300","3449","","Use for invalid/missing event date."
"E","278-B1","6","0300","AAA","03","","","901","60","2","0300","3450","","Use for Date(s) of Event."
"E","278-B1","6","0300","AAA","03","","","901","61","2","0300","3450","","Use for Date(s) of Event."
"E","278-B1","6","0300","AAA","03","","","901","62","2","0300","3451","","Use for Date of Event."
"E","278-B1","6","0300","AAA","03","","","901","T5","2","0300","3378","","Use to indicate missing previous certification number information."
"B","278-B1","6","0400","","","","","","","2","0400","3452","A","Health Care Services Review Information"
"B","278-B1","6","0400","","","","","","","2","0400","3453","E","UM*SC*I*3~"
"B","278-B1","6","0400","","","","","","","2","0400","3624","","Required to identify the type of health care services in this notification."
"C","278-B1","6","0400","UM","01","","","","","2","0400","","F","Request Category Code"
"E","278-B1","6","0400","UM","01","","","1525","AR","2","0400","3454","","Use this value to identify admission to a facility."
"E","278-B1","6","0400","UM","01","","","1525","HS","2","0400","3455","","Use this value to identify services related to an episode of care."
"E","278-B1","6","0400","UM","01","","","1525","SC","2","0400","3456","","Use this value to identify a referral to a specialty provider."
"C","278-B1","6","0400","UM","02","","","","","2","0400","","F","Certification Type Code"
"E","278-B1","6","0400","UM","02","","","1322","1","2","0400","3239","","Use this value to identify appeals of review decisions where the service required was emergency or urgent."
"E","278-B1","6","0400","UM","02","","","1322","2","2","0400","3240","","Use this value to identify appeals of review decisions where the service required was not emergency or urgent."
"E","278-B1","6","0400","UM","02","","","1322","4","2","0400","3457","","Use this value to identify an extension request to a prior approved service."
"E","278-B1","6","0400","UM","02","","","1322","R","2","0400","3458","","Use this value to identify the various services, such as physical therapy, spinal manipulation, and allergy treatment, that have both a delivery pattern and a time span of authorization. Many UMOs place time limits - as in will not authorize anything for more than 30 days at a time. For example, blanket authorization for allergy treatments as required for 30 days. At the end of the 30 days, the provider must request to renew the certification - not extend it - because the UMO authorizes for 30 day intervals, one interval at a time."
"E","278-B1","6","0400","UM","02","","","1322","S","2","0400","3459","","Use this value to identify a revision of a certification for which services have not been rendered. For example, the information source may be identifying additional procedures or other procedures for the same patient event."
"C","278-B1","6","0400","UM","03","","","","","2","0400","3658","D","Required when Loop 2000F is not valued. If not required by this implementation guide, may be provided at sender's discretion but cannot be required by the receiver."
"C","278-B1","6","0400","UM","03","","","","","2","0400","","F","Service Type Code"
"E","278-B1","6","0400","UM","03","","","1365","25","2","0400","3460","","Use for restorative dental."
"C","278-B1","6","0400","UM","04","","","","","2","0400","3659","D","Required when UM04 is not valued at 2000F. If not required by this implementation guide, may be provided at the sender's discretion, but cannot be required by the receiver."
"D","278-B1","6","0400","UM","04","C023","01","","","2","0400","3317","","Use to indicate a facility code value from the code source referenced in UM04-2."
"D","278-B1","6","0400","UM","04","C023","01","","","2","0400","","F","Facility Type Code"
"D","278-B1","6","0400","UM","04","C023","02","","","2","0400","","F","Facility Code Qualifier"
"C","278-B1","6","0400","UM","06","","","","","2","0400","3756","D","Required when UM02=1 or if the patient event requires a level of service for care other than routine. If not required by this implementation guide, do not send."
"C","278-B1","6","0400","UM","06","","","","","2","0400","","F","Level of Service Code"
"B","278-B1","6","0500","","","","","","","2","0500","3297","","The HCR segment at the 2000E event level contains information relevant to the original decision holder for the event. Certification Action, Review Identification, Review Decision Reason Code and Second Surgical Opinion Indicator data from the original decision maker is made available in the HCR segment to the information receiver."
"B","278-B1","6","0500","","","","","","","2","0500","3382","A","Health Care Services Review"
"B","278-B1","6","0500","","","","","","","2","0500","3383","E","HCR*A1*20020713~"
"B","278-B1","6","0500","","","","","","","2","0500","3625","","Required when health care services review information applies to the event level. If not required by this implementation guide, do not send."
"C","278-B1","6","0500","HCR","01","","","","","2","0500","3384","B","Certification Action Code"
"C","278-B1","6","0500","HCR","01","","","","","2","0500","","F","Action Code"
"E","278-B1","6","0500","HCR","01","","","306","A2","2","0500","3461","","Use to identify that the event is only partially certified. Consult HCR01, Loop 2000F for approved, denied or pended services."
"E","278-B1","6","0500","HCR","01","","","306","NA","2","0500","3385","","Use only if certification is not required."
"C","278-B1","6","0500","HCR","02","","","","","2","0500","3462","D","Required when HCR01 = A1, A2 or A6. If not required by this implementation guide, do not send."
"C","278-B1","6","0500","HCR","02","","","","","2","0500","","F","Review Identification Number"
"C","278-B1","6","0500","HCR","03","","","","","2","0500","3463","D","Required when HCR01 = A3, or A4. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","6","0500","HCR","03","","","","","2","0500","3700","","The HCR03 data element is a repeating data element and can be repeated up to the maximum allowed by the standard in this implementation guide."
"C","278-B1","6","0500","HCR","03","","","","","2","0500","","F","Review Decision Reason Code"
"C","278-B1","6","0500","HCR","04","","","","","2","0500","3464","D","Required when certification pertains to a surgical procedure and the contract under which the patient is covered has provisions regarding a second surgical opinion. If not required required by this implementation guide, do not send."
"C","278-B1","6","0500","HCR","04","","","","","2","0500","","F","Second Surgical Opinion Indicator"
"B","278-B1","6","0610","","","","","","","2","0600","3116","E","REF*BB*123A~"
"B","278-B1","6","0610","","","","","","","2","0600","3299","","This is the authorization number assigned by the UMO to the original review outcome associated with this event. This is not the trace number assigned by the requester."
"B","278-B1","6","0610","","","","","","","2","0600","3468","A","Previous Review Authorization Number"
"B","278-B1","6","0610","","","","","","","2","0600","3469","","Required when the certification number assigned by the UMO to the original event review outcome was used by the UMO to determine the outcome of this service review. If not required by this implementation guide, do not send."
"C","278-B1","6","0610","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B1","6","0610","REF","02","","","","","2","0600","","F","Previous Review Authorization Number"
"B","278-B1","6","0615","","","","","","","2","0600","3298","","This is the administrative number assigned by the Information receiver in an acknowledgment from a prior notification. This is not the trace number assigned by the Information receiver."
"B","278-B1","6","0615","","","","","","","2","0600","3465","A","Administrative Reference Number"
"B","278-B1","6","0615","","","","","","","2","0600","3466","E","REF*NT*Y456~"
"B","278-B1","6","0615","","","","","","","2","0600","3467","","Required when this notification is related to an acknowledgment received from the information receiver in a prior acknowledgment transaction. If not required by this implementation guide, do not send."
"C","278-B1","6","0615","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B1","6","0615","REF","02","","","","","2","0600","","F","Administrative Reference Number"
"B","278-B1","6","0700","","","","","","","2","0700","3206","A","Accident Date"
"B","278-B1","6","0700","","","","","","","2","0700","3470","E","DTP*439*D8*20051218~"
"B","278-B1","6","0700","","","","","","","2","0700","3660","","Required when the patient's condition is accident related and the date of the accident is known. If not required by this implementation guide, do not send."
"B","278-B1","6","0700","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0700","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0700","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0700","DTP","03","","","","","2","0700","","F","Accident Date"
"B","278-B1","6","0705","","","","","","","2","0700","3207","A","Last Menstrual Period Date"
"B","278-B1","6","0705","","","","","","","2","0700","3208","E","DTP*484*D8*20051218~"
"B","278-B1","6","0705","","","","","","","2","0700","3661","","Required when the notification is pregnancy related. If not required by this implementation guide, do not send."
"B","278-B1","6","0705","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0705","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0705","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0705","DTP","03","","","","","2","0700","","F","Last Menstrual Period Date"
"B","278-B1","6","0710","","","","","","","2","0700","3204","A","Estimated Date of Birth"
"B","278-B1","6","0710","","","","","","","2","0700","3205","E","DTP*ABC*D8*20050905~"
"B","278-B1","6","0710","","","","","","","2","0700","3662","","Required when the notification is related to the estimated date of delivery. If not required by this implementation guide, do not send."
"B","278-B1","6","0710","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0710","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0710","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0710","DTP","03","","","","","2","0700","","F","Estimated Birth Date"
"B","278-B1","6","0715","","","","","","","2","0700","3209","A","Onset of Current Symptoms or Illness Date"
"B","278-B1","6","0715","","","","","","","2","0700","3210","E","DTP*431*D8*20051218~"
"B","278-B1","6","0715","","","","","","","2","0700","3663","","Required when the date of onset of the patient's condition is different from the diagnosis date, and not accident or pregnancy related. If not required by this implementation guide, do not send."
"B","278-B1","6","0715","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0715","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0715","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0715","DTP","03","","","","","2","0700","","F","Onset Date"
"B","278-B1","6","0720","","","","","","","2","0700","3471","A","Event Date"
"B","278-B1","6","0720","","","","","","","2","0700","3472","E","DTP*AAH*D8*20050723~"
"B","278-B1","6","0720","","","","","","","2","0700","3664","","Required when the proposed or actual date or range of dates of this patient event are known and UM01 does not equal AR. If not required by this implementation guide, do not send."
"B","278-B1","6","0720","","","","","","","2","0700","3701","","If UM01 = AR use Admit Date."
"B","278-B1","6","0720","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0720","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0720","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0720","DTP","03","","","","","2","0700","","F","Proposed or Actual Event Date"
"B","278-B1","6","0725","","","","","","","2","0700","3162","A","Admission Date"
"B","278-B1","6","0725","","","","","","","2","0700","3284","E","DTP*435*D8*20050723~"
"B","278-B1","6","0725","","","","","","","2","0700","3702","","Required when identifying an admission review (UM01 = ""AR"") to identify the proposed or actual date of admission. If not required by this implementation guide, do not send."
"B","278-B1","6","0725","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0725","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0725","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"E","278-B1","6","0725","DTP","02","","","1250","RD8","2","0700","3285","","Use this for the range of dates when admission can occur. Use the HSD segment for the length of stay.;"
"C","278-B1","6","0725","DTP","03","","","","","2","0700","","F","Proposed or Actual Admission Date"
"B","278-B1","6","0730","","","","","","","2","0700","3163","A","Discharge Date"
"B","278-B1","6","0730","","","","","","","2","0700","3286","E","DTP*096*D8*20050724~"
"B","278-B1","6","0730","","","","","","","2","0700","3703","","Required when identifying an admission review (UM01 = ""AR"") and the proposed or actual date of discharge from a facility is known. If not required by this implementation guide, do not send."
"B","278-B1","6","0730","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0730","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0730","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0730","DTP","03","","","","","2","0700","","F","Proposed or Actual Discharge Date"
"B","278-B1","6","0735","","","","","","","2","0700","3392","A","Certification Issue Date"
"B","278-B1","6","0735","","","","","","","2","0700","3393","E","DTP*102*D8*20050701~"
"B","278-B1","6","0735","","","","","","","2","0700","3665","","Required when certification issue date is different than the certification effective date. If not required by this implementation guide, do not send."
"B","278-B1","6","0735","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0735","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0735","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0735","DTP","03","","","","","2","0700","","F","Certification Issue Date"
"B","278-B1","6","0740","","","","","","","2","0700","3395","A","Certification Expiration Date"
"B","278-B1","6","0740","","","","","","","2","0700","3396","E","DTP*036*D8*20050731~"
"B","278-B1","6","0740","","","","","","","2","0700","3397","","Required when the certification has an expiration date that indicates the date on which the certification will expire. If not required by the implementation guide, do not send."
"B","278-B1","6","0740","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0740","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0740","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0740","DTP","03","","","","","2","0700","","F","Certification Expiration Date"
"B","278-B1","6","0745","","","","","","","2","0700","3398","A","Certification Effective Date"
"B","278-B1","6","0745","","","","","","","2","0700","3399","E","DTP*007*RD8*20050701-20050731~"
"B","278-B1","6","0745","","","","","","","2","0700","3400","","Required when the certification is limited by effective dates to indicate the date or date range when the certification is effective. If not required by the implementation guide, do not send."
"B","278-B1","6","0745","","","","","","","2","0700","3788","","The total number of DPT segments in the 2000E Loop cannot exceed 9."
"C","278-B1","6","0745","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B1","6","0745","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B1","6","0745","DTP","03","","","","","2","0700","","F","Certification Effective Date"
"B","278-B1","6","0800","","","","","","","2","0800","3300","","Required when identifying the diagnosis code at the event level. If not required by this implementation guide, do not send."
"B","278-B1","6","0800","","","","","","","2","0800","3473","A","Patient Diagnosis"
"B","278-B1","6","0800","","","","","","","2","0800","3474","E","HI*BF:41090~"
"C","278-B1","6","0800","HI","01","","","","","2","0800","3130","B","Diagnosis 1"
"D","278-B1","6","0800","HI","01","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","01","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","01","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","01","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","01","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","01","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","02","","","","","2","0800","3123","B","Diagnosis 2"
"C","278-B1","6","0800","HI","02","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","02","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","02","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","02","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","02","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","02","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","02","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","03","","","","","2","0800","3124","B","Diagnosis 3"
"C","278-B1","6","0800","HI","03","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","03","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","03","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","03","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","03","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","03","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","03","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","04","","","","","2","0800","3169","B","Diagnosis 4"
"C","278-B1","6","0800","HI","04","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","04","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","04","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","04","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","04","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","04","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","04","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","05","","","","","2","0800","3170","B","Diagnosis 5"
"C","278-B1","6","0800","HI","05","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","05","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","05","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","05","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","05","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","05","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","05","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","06","","","","","2","0800","3171","B","Diagnosis 6"
"C","278-B1","6","0800","HI","06","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","06","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","06","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","06","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","06","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","06","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","06","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","07","","","","","2","0800","3172","B","Diagnosis 7"
"C","278-B1","6","0800","HI","07","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","07","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","07","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","07","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","07","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","07","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","07","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","08","","","","","2","0800","3173","B","Diagnosis 8"
"C","278-B1","6","0800","HI","08","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","08","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","08","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","08","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","08","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","08","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","08","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","09","","","","","2","0800","3174","B","Diagnosis 9"
"C","278-B1","6","0800","HI","09","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","09","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","09","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","09","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","09","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","09","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","09","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","10","","","","","2","0800","3175","B","Diagnosis 10"
"C","278-B1","6","0800","HI","10","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","10","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","10","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","10","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","10","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","10","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","10","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","11","","","","","2","0800","3176","B","Diagnosis 11"
"C","278-B1","6","0800","HI","11","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","11","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","11","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","11","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","11","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","11","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","11","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B1","6","0800","HI","12","","","","","2","0800","3177","B","Diagnosis 12"
"C","278-B1","6","0800","HI","12","","","","","2","0800","3626","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","12","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B1","6","0800","HI","12","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B1","6","0800","HI","12","C022","03","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","12","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B1","6","0800","HI","12","C022","04","","","2","0800","3704","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-B1","6","0800","HI","12","C022","04","","","2","0800","","F","Diagnosis Date"
"B","278-B1","6","0900","","","","","","","2","0900","3287","E","HSD*VS*1*DA*1*7*10~ (This indicates ""1 visit every (per) 1 day (daily) for 10 days"".)"
"B","278-B1","6","0900","","","","","","","2","0900","3288","E","HSD*VS*1*DA****W~ (This indicates ""1 visit per day whenever necessary"".)"
"B","278-B1","6","0900","","","","","","","2","0900","3475","A","Health Care Services Delivery"
"B","278-B1","6","0900","","","","","","","2","0900","3476","","Required when identifying services that have a specific pattern of delivery or usage. If not required by this implementation guide, do not send."
"B","278-B1","6","0900","","","","","","","2","0900","3477","","Report delivery patterns for specific services in the Service Level (Loop 2000F)."
"B","278-B1","6","0900","","","","","","","2","0900","3478","","An explanation of the uses of this segment follows.<R>
HSD01 qualifies HSD02: If the value in HSD02=1 and the value in HSD01=VS (Visits), this means ""one visit"".
Between HSD02 and HSD03 verbally insert a ""per every"".
HSD03 qualifies HSD04: If the value in HSD04=3 and the value in HSD03=DA (Day), this means ""three days"". Between HSD04 and HSD05 verbally insert a ""for"". HSD05 qualifies HSD06: If the value in HSD06=21 and the value in HSD05=7 (Days), this means ""21 days"".
The total message reads:
HSD*VS*1*DA*3*7*21~ = ""One visit per every three days for 21 days"".<R>
Another similar data string of HSD*VS*2*DA*4*7*20~ = ""Two visits per every four days for 20 days"".<R>
An alternate way to use HSD is to employ HSD07 and/or HSD08. A data string of HSD*VS*1*****SX*D~ means ""1 visit on Wednesday and Thursday morning""."
"C","278-B1","6","0900","HSD","01","","","","","2","0900","3479","D","Required when HSD02 is valued to qualify the type of service count for this patient event. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","01","","","","","2","0900","","F","Quantity Qualifier"
"C","278-B1","6","0900","HSD","02","","","","","2","0900","3155","B","Service Quantity"
"C","278-B1","6","0900","HSD","02","","","","","2","0900","3666","D","Required when HSD01 is valued to indicate the service quantity. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","02","","","","","2","0900","","F","Service Unit Count"
"C","278-B1","6","0900","HSD","03","","","","","2","0900","3480","D","Required when HSD04 is valued to qualify the time frame in which the quantity of services (HSD02) will be rendered. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","03","","","","","2","0900","","F","Unit or Basis for Measurement Code"
"C","278-B1","6","0900","HSD","04","","","","","2","0900","3481","D","Required when patient events must be rendered within a specific timeframe. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","04","","","","","2","0900","","F","Sample Selection Modulus"
"C","278-B1","6","0900","HSD","05","","","","","2","0900","3481","D","Required when patient events must be rendered within a specific timeframe. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","05","","","","","2","0900","","F","Time Period Qualifier"
"C","278-B1","6","0900","HSD","06","","","","","2","0900","3481","D","Required when patient events must be rendered within a specific timeframe. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","06","","","","","2","0900","","F","Period Count"
"C","278-B1","6","0900","HSD","07","","","","","2","0900","3482","D","Required when the patient event must be rendered within a specific calendar delivery pattern. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","07","","","","","2","0900","","F","Delivery Frequency Code"
"C","278-B1","6","0900","HSD","08","","","","","2","0900","3483","D","Required when a specific time delivery pattern for the services in this patient event must be identified. If not required by this implementation guide, do not send."
"C","278-B1","6","0900","HSD","08","","","","","2","0900","","F","Delivery Pattern Time Code"
"B","278-B1","6","1100","","","","","","","2","1100","3118","E","CL1*3**01~"
"B","278-B1","6","1100","","","","","","","2","1100","3158","A","Institutional Claim Code"
"B","278-B1","6","1100","","","","","","","2","1100","3705","","Required when identifying certifications for admissions (UM01 = AR) to a facility. If not required by this implementation guide, do not send."
