"A","275-A9","","","","","","","","","","","114","","Additional Information to Support a Health Care Claim or Encounter"
"C","275-A9","2","0550","REF","04","","","","","2","0500","1000197","D","This element is required when the service line is identified with both a procedure code and a revenue code. If not required by this implementation guide, do not send."
"D","275-A9","2","0550","REF","04","C040","01","","","2","0500","","F","Reference Identification Qualifier"
"E","275-A9","2","0550","REF","04","C040","01","128","YJ","2","0500","1000175","","Used to convey the Revenue Code reported in the 837 or the 277.<R>
See code source 132: National Uniform Billing Committee (NUBC) Codes"
"D","275-A9","2","0550","REF","04","C040","02","","","2","0500","","F","Revenue Code"
"B","275-A9","2","0555","","","","","","","2","0500","1000273","A","Procedure Code Modifier"
"B","275-A9","2","0555","","","","","","","2","0500","1000274","E","REF*SK*52~"
"B","275-A9","2","0555","","","","","","","2","0500","1000275","","Required when the procedure code submitted on the original claim include modifiers. If not required by this implementation guide, do not send."
"B","275-A9","2","0555","","","","","","","2","0500","1000284","","The procedure code modifiers should be reported in the same order as on the original claim."
"C","275-A9","2","0555","REF","01","","","","","2","0500","","F","Reference Identification Qualifier"
"E","275-A9","2","0555","REF","01","","","128","SK","2","0500","1000276","","Used to convey the procedure code modifier reported on the original claim."
"C","275-A9","2","0555","REF","02","","","","","2","0500","","F","Procedure Code Modifier"
"C","275-A9","2","0555","REF","04","","","","","2","0500","1000285","D","Required when the original claim includes more than 1 modifier. If not required by this implementation guide, do not send."
"D","275-A9","2","0555","REF","04","C040","01","","","2","0500","","F","Reference Identification Qualifier"
"E","275-A9","2","0555","REF","04","C040","01","128","XX4","2","0500","1000286","","Used to convey the procedure code modifier reported on the original claim."
"D","275-A9","2","0555","REF","04","C040","02","","","2","0500","","F","Procedure Code Modifier"
"D","275-A9","2","0555","REF","04","C040","03","","","2","0500","1000287","D","Required when the original claim includes more than 2 modifiers. If not required by this implementation guide, do not send."
"D","275-A9","2","0555","REF","04","C040","03","","","2","0500","","F","Reference Identification Qualifier"
"E","275-A9","2","0555","REF","04","C040","03","128","06","2","0500","1000286","","Used to convey the procedure code modifier reported on the original claim."
"D","275-A9","2","0555","REF","04","C040","04","","","2","0500","1000288","D","Required when REF04-3 is used. If not required by this implementation guide, do not send."
"D","275-A9","2","0555","REF","04","C040","04","","","2","0500","","F","Procedure Code Modifier"
"D","275-A9","2","0555","REF","04","C040","05","","","2","0500","1000289","D","Required when the original claim includes more than 3 modifiers. If not required by this implementation guide, do not send."
"D","275-A9","2","0555","REF","04","C040","05","","","2","0500","","F","Reference Identification Qualifier"
"E","275-A9","2","0555","REF","04","C040","05","128","4N","2","0500","1000286","","Used to convey the procedure code modifier reported on the original claim."
"D","275-A9","2","0555","REF","04","C040","06","","","2","0500","1000290","D","Required when REF04-5 is used. If not required by this implementation guide, do not send."
"D","275-A9","2","0555","REF","04","C040","06","","","2","0500","","F","Procedure Code Modifier"
"B","275-A9","2","0570","","","","","","","2","0600","1000121","A","Service Line Date of Service"
"B","275-A9","2","0570","","","","","","","2","0600","1000151","","Required when the date of service is not reported at the claim level. If not required by this implementation guide, do not send."
"B","275-A9","2","0570","","","","","","","2","0600","1000153","E","DTP*472*D8*20060724~"
"C","275-A9","2","0570","DTP","01","","","","","2","0600","","F","Date Time Qualifier"
"C","275-A9","2","0570","DTP","02","","","","","2","0600","","F","Date Time Period Format Qualifier"
"E","275-A9","2","0570","DTP","02","","","1250","RD8","2","0600","1000178","","RD8 is required only when the To and From dates are different."
"C","275-A9","2","0570","DTP","03","","","","","2","0600","","F","Service Date"
"B","275-A9","2","0600","","","","","","","2","0600","161","E","DTP*368*D8*20060724~"
"B","275-A9","2","0600","","","","","","","2","0600","1000241","A","Additional Information Submission Date"
"C","275-A9","2","0600","DTP","01","","","","","2","0600","","F","Date Time Qualifier"
"E","275-A9","2","0600","DTP","01","","","374","368","2","0600","1000179","","Date information is submitted."
"C","275-A9","2","0600","DTP","02","","","","","2","0600","","F","Date Time Period Format Qualifier"
"C","275-A9","2","0600","DTP","03","","","","","2","0600","","F","Additional Information Submitted Date"
"B","275-A9","2","0700","","","","","","","2","0700","79","E","CAT*AE*HL*CDA R2~"
"B","275-A9","2","0700","","","","","","","2","0700","","A","Category of Patient Information Service"
"C","275-A9","2","0700","CAT","01","","","","","2","0700","","F","Attachment Report Type Code"
"C","275-A9","2","0700","CAT","02","","","","","2","0700","1000277","","Code specifying the format of the HL7 CDA attachment information sent in BIN02. It is up to mutual agreement among trading partners what CAT02 value is used for attachment information not yet adopted or for a business process not addressed under HIPAA."
"C","275-A9","2","0700","CAT","02","","","","","2","0700","","F","Attachment Information Format Code"
"E","275-A9","2","0700","CAT","02","","","756","HL","2","0700","1000155","","Specifies that the content of BIN02 is an HL7 CDA computer decision variant formatted according to HL7 specifications."
"E","275-A9","2","0700","CAT","02","","","756","IA","2","0700","1000242","","Specifies that the content of BIN02 is an electronic image. ""IA"" is never used when sending attachment information adopted under HIPAA.<R>
""HL"", ""MB"", or ""TX"" may be used for attachment information not adopted under HIPAA, and must be used when the attachment information is adopted."
"E","275-A9","2","0700","CAT","02","","","756","MB","2","0700","1000217","","Specifies that the content of BIN02 is an HL7 CDA human decision non-XML variant formatted according to HL7 specifications."
"E","275-A9","2","0700","CAT","02","","","756","TX","2","0700","1000216","","Specifies that the content of BIN02 is an HL7 CDA human decision XML markup variant formatted according to HL7 specifications."
"C","275-A9","2","0700","CAT","03","","","","","2","0700","1000157","D","Required when it is necessary to further qualify CAT02 to distinguish between multiple HL7 CDA versions. If not required by this implementation guide, may be provided at the sender's discretion, but cannot be required by the receiver."
"C","275-A9","2","0700","CAT","03","","","","","2","0700","","F","Version Identification Code"
"B","275-A9","2","0900","","","","","","","2","0900","80","E","EFI*05~"
"B","275-A9","2","0900","","","","","","","2","0900","187","A","Electronic Format Identification"
"C","275-A9","2","0900","EFI","01","","","","","2","0900","","F","Security Level Code"
"E","275-A9","2","0900","EFI","01","","","786","05","2","0900","162","","Per public law publication 104-191 August 21, 1996 Section 1177 [HIPAA] - This information is confidential and wrongful use is subject to penalties."
"B","275-A9","2","1000","","","","","","","2","1000","1000218","","This segment is used to attach the data referenced in the CAT02 element."
"B","275-A9","2","1000","","","","","","","2","1000","1000243","E","BIN*3117*......~
The BIN segment in this example does not display the HL7 CDA. Please refer to the HL7 specifications for an example of the CDA. For purposes of this example the CDA is represented by ......"
"B","275-A9","2","1000","","","","","","","2","1000","","A","Binary Data Segment"
"C","275-A9","2","1000","BIN","01","","","","","2","1000","1000280","","Senders must ensure that the count in BIN01 is equal to the byte count of the contents in BIN02."
"C","275-A9","2","1000","BIN","01","","","","","2","1000","","F","Binary Data Length Number"
"C","275-A9","2","1000","BIN","02","","","","","2","1000","1000281","","This element contains the HL7 CDA formatted attachment information as specified in CAT02. It is recommended that BIN02 not exceed 64 megabytes."
"C","275-A9","2","1000","BIN","02","","","","","2","1000","1000282","","The segment terminator used in the 275 transaction must not be used within the data content of BIN02."
"C","275-A9","2","1000","BIN","02","","","","","2","1000","1000283","","It has been noted that line constraints, transfer protocols, zip programs or conversion processes may insert additional control characters such as, line feeds or carriage returns or other special characters into a transaction. If this occurs in BIN02, the sender's stated count in BIN01 may no longer be equal to the received contents of the data in BIN02."
"C","275-A9","2","1000","BIN","02","","","","","2","1000","","F","Binary Data"
"B","275-A9","2","1100","","","","","","","2","1100","82","A","275 Transaction Set Trailer"
"B","275-A9","2","1100","","","","","","","2","1100","83","E","SE*17*0001~"
"C","275-A9","2","1100","SE","01","","","","","2","1100","111","","Do not include the segments contained within the HL7 format. The entire BIN segment is considered one segment in the count."
"C","275-A9","2","1100","SE","01","","","","","2","1100","","F","Transaction Segment Count"
"C","275-A9","2","1100","SE","02","","","","","2","1100","142","","The Transaction Set Control Number in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there."
"C","275-A9","2","1100","SE","02","","","","","2","1100","","F","Transaction Set Control Number"
