"A","278-B2","","","","","","","","","","","3790","","It is required that separate transaction sets be used for different patients."
"B","278-B2","5","0100","","","","","","","2","0100","4111","","Required when valued on the notification and the information receiver has detected no errors at the parent level (Loop 2000C) of the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","5","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B2","5","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","5","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","5","0200","","","","","","","2","0200","3946","","Any trace numbers provided at this level on the notification must be returned by the information receiver at this level of the 278 acknowledgment response if one is returned."
"B","278-B2","5","0200","","","","","","","2","0200","4066","E","TRN*2*2001042801*9012345678*CARDIOLOGY~"
"B","278-B2","5","0200","","","","","","","2","0200","4067","","If the 278 notification transaction passes through more than one clearinghouse, the second (and subsequent) clearinghouse may choose one of the following options:<R>
If the second or subsequent clearinghouse needs to assign their own TRN segment they may replace the received TRN segment belonging to the sending clearinghouse with their own TRN segment. Upon returning a 278 acknowledgment to the sending clearinghouse, they must remove their TRN segment and replace it with the sending clearinghouse's TRN segment.<R>
If the second or subsequent clearinghouse does not need to assign their own TRN segment, they should merely pass all TRN segments received in the 278 notification in the 278 acknowledgment response transaction."
"B","278-B2","5","0200","","","","","","","2","0200","4116","","Required when this loop is returned and the notification contained a tracking number at this level on the notification, or if the receiver or clearinghouse assigns a trace number to this patient event in the acknowledgment for tracking purposes. If not required by this implementation guide, do not send."
"B","278-B2","5","0200","","","","","","","2","0200","4254","A","Dependent Trace Number"
"B","278-B2","5","0200","","","","","","","2","0200","3973","","If the 278 notification passes through a clearinghouse that adds their own TRN in addition to an information source TRN, the clearinghouse will receive an acknowledgment from the information receiver containing two TRN segments that contain the value <169>2<170> (Referenced Transaction Trace Number) in TRN01. If the information receiver has assigned a TRN, the information receiver's TRN will contain the value <169>1<170> (Current Transaction Trace Number) in TRN01. If the clearinghouse chooses to pass their own TRN values to the information source, the clearinghouse must change the value in their TRN01 to <169>1<170> because, from the information source's perspective, this is not a referenced transaction trace number."
"C","278-B2","5","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-B2","5","0200","TRN","01","","","481","1","2","0200","3947","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 acknowledgment transaction (the information receiver)."
"E","278-B2","5","0200","TRN","01","","","481","2","2","0200","3948","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 notification transaction."
"C","278-B2","5","0200","TRN","02","","","","","2","0200","","F","Patient Event Tracking Number"
"C","278-B2","5","0200","TRN","03","","","","","2","0200","3917","","Use this element to identify the organization that assigned this trace number. If TRN01 is ""2"", this is the value received in the original 278 notification transaction. If TRN01 is ""1"", use this information to identify the information receiver organization that assigned this trace number."
"C","278-B2","5","0200","TRN","03","","","","","2","0200","3918","","The first position must be either a <169>1<170> if an EIN is used, a <169>3<170> if a DUNS is used or a <169>9<170> if a user assigned identifier is used."
"C","278-B2","5","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-B2","5","0200","TRN","04","","","","","2","0200","4117","D","Required when TRN01 = 2 and TRN04 was valued on the notification or if TRN01 = 1 if necessary to further identify a specific component, such as a specific division or group, of the company identified in the previous data element (TRN03). If not required by this implementation guide, do not send."
"C","278-B2","5","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-B2","5","0300","","","","","","","2","0300","3850","A","Dependent Notification Validation"
"B","278-B2","5","0300","","","","","","","2","0300","3922","E","AAA*N**15*C~"
"B","278-B2","5","0300","","","","","","","2","0300","3934","","Use this AAA segment to identify the reasons why the notification could not be processed based on the contents of the HI Dependent Diagnosis Segment or the DTP date segments in Loop 2000D of the notification."
"B","278-B2","5","0300","","","","","","","2","0300","4094","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","5","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"C","278-B2","5","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B2","5","0300","AAA","03","","","901","15","2","0300","3987","","Use for missing diagnosis codes and dates."
"E","278-B2","5","0300","AAA","03","","","901","33","2","0300","3925","","Use for invalid diagnosis codes and dates."
"E","278-B2","5","0300","AAA","03","","","901","56","2","0300","3926","","Use when the type of date (Accident, Last Menstrual Period, Estimated Date of Birth, Onset of Current Symptoms or Illness) used on the request is inconsistent with the patient condition or services requested."
"C","278-B2","5","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-B2","5","0600","","","","","","","2","0600","4096","A","Notification Receipt Number"
"B","278-B2","5","0600","","","","","","","2","0600","4097","E","REF*BAF*0307801~"
"B","278-B2","5","0600","","","","","","","2","0600","4098","","Required when the information receiver returns a receipt number to indicate receipt of the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","5","0600","REF","02","","","","","2","0600","","F","Notification Receipt Number"
"B","278-B2","5","1700","","","","","","","2","1700","3846","A","Dependent Name"
"B","278-B2","5","1700","","","","","","","2","1700","3976","E","NM1*QC*1*SMITH*MARY~"
"B","278-B2","5","1700","","","","","","","2","1700","3988","","This segment conveys the name of the dependent who is the patient."
"B","278-B2","5","1700","","","","","","","2","1700","3935","","NM108 and NM109 are situational on the acknowledgment but Not Used on the notification. This enables the information receiver (UMO for example) to return a unique member ID for the dependent that was not known to the information source at the time of the review. Normally, if the dependent has a unique member ID, Loop 2000D is not used."
"C","278-B2","5","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","5","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","5","1700","NM1","03","","","","","2","1700","3927","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","03","","","","","2","1700","","F","Dependent Last Name"
"C","278-B2","5","1700","NM1","04","","","","","2","1700","3927","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","04","","","","","2","1700","","F","Dependent First Name"
"C","278-B2","5","1700","NM1","05","","","","","2","1700","3927","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","05","","","","","2","1700","","F","Dependent Middle Name"
"C","278-B2","5","1700","NM1","07","","","","","2","1700","3927","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","07","","","","","2","1700","","F","Dependent Name Suffix"
"C","278-B2","5","1700","NM1","08","","","","","2","1700","4021","D","Required when the dependent has a unique member ID that is known by the information receiver. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","5","1700","NM1","08","","","66","MI","2","1700","3847","","Use this code for the payer-assigned identifier for the dependent, even if the payer calls its number a policy number, recipient number, HIC number, or some other synonym."
"E","278-B2","5","1700","NM1","08","","","66","ZZ","2","1700","3929","","The value ""ZZ"", when used in this data element, shall be defined as ""HIPAA Individual Identifier"" once this identifier has been adopted.  Under the Health Insurance Portability and Accountability Act of 1996, the Secretary of Health and Human Services must adopt a standard individual identifier for use in this transaction."
"C","278-B2","5","1700","NM1","09","","","","","2","1700","3848","B","Dependent Member Number"
"C","278-B2","5","1700","NM1","09","","","","","2","1700","4021","D","Required when the dependent has a unique member ID that is known by the information receiver. If not required by this implementation guide, do not send."
"C","278-B2","5","1700","NM1","09","","","","","2","1700","","F","Dependent Primary Identifier"
"B","278-B2","5","1800","","","","","","","2","1800","3805","E","REF*SY*123456789~"
"B","278-B2","5","1800","","","","","","","2","1800","3849","A","Dependent Supplemental Identification"
"B","278-B2","5","1800","","","","","","","2","1800","4099","","Required when valued on the notification and used by the information receiver to identify the Subscriber or when REF01 = ""EJ"" (Patient Account Number) is valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","5","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B2","5","1800","REF","01","","","128","EJ","2","1800","4249","","The maximum number of characters to be supported for this qualifier is `20'. Characters beyond the maximum are not required to be stored nor returned by any receiving system."
"E","278-B2","5","1800","REF","01","","","128","SY","2","1800","4032","","The social security number may not be used for Medicare."
"C","278-B2","5","1800","REF","02","","","","","2","1800","","F","Dependent Supplemental Identifier"
"B","278-B2","5","2300","","","","","","","2","2300","3817","E","AAA*N**67*C~"
"B","278-B2","5","2300","","","","","","","2","2300","3850","A","Dependent Notification Validation"
"B","278-B2","5","2300","","","","","","","2","2300","4094","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","5","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","5","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","5","2300","AAA","03","","","901","15","2","2300","3936","","Use this code to indicate missing dependent relationship information."
"E","278-B2","5","2300","AAA","03","","","901","33","2","2300","3937","","Use this code to indicate invalid dependent relationship information."
"C","278-B2","5","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","5","2500","","","","","","","2","2500","3806","E","DMG*D8*19580322*M~"
"B","278-B2","5","2500","","","","","","","2","2500","3851","A","Dependent Demographic Information"
"B","278-B2","5","2500","","","","","","","2","2500","4120","","Required when valued on the notification and birth date (DMG02) or gender (DMG03) was used by the information receiver to identify the patient. If not required by this implementation guide, do not send."
"C","278-B2","5","2500","DMG","01","","","","","2","2500","","F","Date Time Period Format Qualifier"
"C","278-B2","5","2500","DMG","02","","","","","2","2500","3820","B","Dependent Birth Date"
"C","278-B2","5","2500","DMG","02","","","","","2","2500","","F","Dependent Birth Date"
"C","278-B2","5","2500","DMG","03","","","","","2","2500","4121","D","Required when valued on the notification and used by the information receiver to identify the patient. If not required by this implementation guide, do not send."
"C","278-B2","5","2500","DMG","03","","","","","2","2500","","F","Dependent Gender Code"
"B","278-B2","5","2600","","","","","","","2","2600","3807","E","INS*N*19~"
"B","278-B2","5","2600","","","","","","","2","2600","3852","A","Dependent Relationship"
"B","278-B2","5","2600","","","","","","","2","2600","4106","","Required when valued on the notification and used by the information receiver to identify the patient. If not required by this implementation guide, do not send."
"C","278-B2","5","2600","INS","01","","","","","2","2600","3853","B","Insured Indicator"
"C","278-B2","5","2600","INS","01","","","","","2","2600","","F","Insured Indicator"
"C","278-B2","5","2600","INS","02","","","","","2","2600","3904","B","Relationship to Insured"
"C","278-B2","5","2600","INS","02","","","","","2","2600","","F","Individual Relationship Code"
"C","278-B2","5","2600","INS","17","","","","","2","2600","4107","D","Required when valued on the notification and used by the information receiver to identify a dependent child from a multiple birth. If not required by this implementation guide, do not send."
"C","278-B2","5","2600","INS","17","","","","","2","2600","","F","Birth Sequence Number"
"B","278-B2","6","0100","","","","","","","2","0100","3808","E","HL*5*4*EV*1~"
"B","278-B2","6","0100","","","","","","","2","0100","4123","A","Patient Event Level"
"B","278-B2","6","0100","","","","","","","2","0100","4124","","Required when the information receiver has detected errors at the patient event or subsequent service levels of the notification or when a receipt number is assigned at the event level of a received notification. If not required by this implementation guide, do not send."
"B","278-B2","6","0100","","","","","","","2","0100","4196","","Loop 2000E identifies information about the patient event and includes specific person, group practice, facility, or specialty entity providing services."
"B","278-B2","6","0100","","","","","","","2","0100","4197","","Patient event information identified at the 2000E loop applies to all subsequent 2000F service loops. Values entered at a specific 2000F service loop override 2000E patient event information for that 2000F service loop only."
"C","278-B2","6","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","6","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B2","6","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","6","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","6","0200","","","","","","","2","0200","4038","A","Patient Event Tracking Number"
"B","278-B2","6","0200","","","","","","","2","0200","4039","E","TRN*1*2001042801*9012345678*CARDIOLOGY~"
"B","278-B2","6","0200","","","","","","","2","0200","4198","","Required when this loop is returned and the notification contained a tracking number at this level on the notification, or if the information source or clearinghouse assigns a trace number to this patient event in the acknowledgment for tracking purposes. If not required by this implementation guide, do not send."
"B","278-B2","6","0200","","","","","","","2","0200","4199","","Any trace numbers provided at this level on the notification must be returned by the information sender at this level of the 278 notification."
"B","278-B2","6","0200","","","","","","","2","0200","4200","","If the 278 notification transaction passed through more than one clearinghouse, the second (and subsequent) clearinghouse may choose one of the following options: If the second or subsequent clearinghouse needs to assign their own TRN segment they may replace the received TRN segment belonging to the sending clearinghouse with their own TRN segment. Upon returning a 278 acknowledgment to the sending clearinghouse, they must remove their TRN segment and replace it with the sending clearinghouse's TRN segment. If the second or subsequent clearinghouse does not need to assign their own TRN segment, they should merely pass all TRN segments received in the 278 acknowledgment transaction."
"B","278-B2","6","0200","","","","","","","2","0200","4201","","If the 278 notification passed through a clearinghouse that adds their own TRN in addition to the information source's TRN, the clearinghouse will receive an acknowledgment from the information source containing two TRN segments that contain the value ""2"" (Referenced Transaction Trace Number) in TRN01. If the information source has assigned a TRN, the information source's TRN will contain the value ""1"" (Current Transaction Trace Number) in TRN01. If the clearinghouse chooses to pass their own TRN values to the acknowledgment's information receiver, the clearinghouse must change the value in their TRN01 to ""1"" because, from the information receiver's perspective, this is not a referenced transaction trace number."
"C","278-B2","6","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-B2","6","0200","TRN","01","","","481","1","2","0200","4202","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 acknowledgment transaction (the information source)."
"E","278-B2","6","0200","TRN","01","","","481","2","2","0200","4203","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 notification transaction."
"C","278-B2","6","0200","TRN","02","","","","","2","0200","","F","Patient Event Trace Number"
"C","278-B2","6","0200","TRN","03","","","","","2","0200","4204","","Use this element to identify the entity that assigned this trace number. If TRN01 is ""1"", use this value to identify the information source of this acknowledgment transaction that assigned the trace number. If TRN01 is ""2"", this is the value received in the original 278 notification transaction."
"C","278-B2","6","0200","TRN","03","","","","","2","0200","3918","","The first position must be either a <169>1<170> if an EIN is used, a <169>3<170> if a DUNS is used or a <169>9<170> if a user assigned identifier is used."
"C","278-B2","6","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-B2","6","0200","TRN","04","","","","","2","0200","4205","D","Required when TRN01 = 2 and TRN04 was valued on the notification or when TRN01 = 1 and it is necessary to further identify a specific component, such as a specific division or group, of the company identified in the previous data element (TRN03). If not required by this implementation guide, do not send."
"C","278-B2","6","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-B2","6","0300","","","","","","","2","0300","3922","E","AAA*N**15*C~"
"B","278-B2","6","0300","","","","","","","2","0300","4125","A","Patient Event Request Validation"
"B","278-B2","6","0300","","","","","","","2","0300","4232","","Required when the notification is not valid at this level. If not required by this implementation guide do not send."
"C","278-B2","6","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"C","278-B2","6","0300","AAA","03","","","","","2","0300","4030","D","Required when AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B2","6","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B2","6","0300","AAA","03","","","901","15","2","0300","3950","","Use when data is missing that is not covered by another Reject Reason Code. For example, use for missing procedure codes and procedure dates."
"E","278-B2","6","0300","AAA","03","","","901","33","2","0300","4126","","Use for input errors in the service data not covered by the other reject reason codes listed. For example, use for invalid place of service codes and invalid diagnosis codes and diagnosis dates."
"E","278-B2","6","0300","AAA","03","","","901","52","2","0300","4127","","Use for Event Date(s)."
"E","278-B2","6","0300","AAA","03","","","901","56","2","0300","4206","","Use when the type of date (Accident, Last Menstrual Period, Estimated Date of Birth, Onset of Current Symptoms or Illness) used on the notification is inconsistent with the patient condition or services requested."
"E","278-B2","6","0300","AAA","03","","","901","57","2","0300","4128","","Use for invalid/missing event date."
"E","278-B2","6","0300","AAA","03","","","901","60","2","0300","4129","","Use for Date(s) of Event."
"E","278-B2","6","0300","AAA","03","","","901","61","2","0300","4129","","Use for Date(s) of Event."
"E","278-B2","6","0300","AAA","03","","","901","62","2","0300","4130","","Use for Date of Event."
"E","278-B2","6","0300","AAA","03","","","901","T5","2","0300","3951","","Use to indicate missing previous certification number information."
"C","278-B2","6","0300","AAA","04","","","","","2","0300","4207","D","Required when element AAA01 = ""N"". If not required by this implementation guide, do not send."
"C","278-B2","6","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-B2","6","0400","","","","","","","2","0400","3812","E","UM*SC*I*3~"
"B","278-B2","6","0400","","","","","","","2","0400","4131","A","Health Care Services Review Information"
"B","278-B2","6","0400","","","","","","","2","0400","4208","","Required to identify the type of health care services review notification to which this acknowledgment pertains."
"C","278-B2","6","0400","UM","01","","","","","2","0400","","F","Request Category Code"
"E","278-B2","6","0400","UM","01","","","1525","AR","2","0400","4132","","Use this value to identify admission to a facility."
"E","278-B2","6","0400","UM","01","","","1525","HS","2","0400","4209","","Use this value to identify services related to an episode of care."
"E","278-B2","6","0400","UM","01","","","1525","SC","2","0400","4133","","Use this value to identify a referral to a specialty provider."
"C","278-B2","6","0400","UM","02","","","","","2","0400","","F","Certification Type Code"
"E","278-B2","6","0400","UM","02","","","1322","1","2","0400","3952","","Use this value to identify appeals of review decisions where the level of service required is emergency or urgent. If UM02 = 1 then UM06 must be valued."
"E","278-B2","6","0400","UM","02","","","1322","2","2","0400","3953","","Use this value for appeals of review decisions where the level of service required is not emergency or urgent."
"E","278-B2","6","0400","UM","02","","","1322","4","2","0400","4134","","Use this value to identify an extension request to a prior approved service."
"E","278-B2","6","0400","UM","02","","","1322","R","2","0400","4135","","Use this value to identify the various services, such as physical therapy, spinal manipulation, and allergy treatment, that have both a delivery pattern and a time span of authorization. Many UMOs place time limits - as in will not authorize anything for more than 30 days at a time. For example, blanket authorization for allergy treatments as required for 30 days. At the end of the 30 days, the provider must request to renew the certification - not extend it - because the UMO authorizes for 30 day intervals, one interval at a time."
"E","278-B2","6","0400","UM","02","","","1322","S","2","0400","4210","","Use if the Information Source is revising the specifics of a certification for which services have not been rendered. For example, the requester may be requesting additional procedures or other procedures for the same patient event."
"C","278-B2","6","0400","UM","03","","","","","2","0400","4211","D","Required when necessary to identify a service type code at the event level. If not required by this implementation guide, do not send."
"C","278-B2","6","0400","UM","03","","","","","2","0400","","F","Service Type Code"
"E","278-B2","6","0400","UM","03","","","1365","25","2","0400","4136","","Use for restorative dental."
"C","278-B2","6","0400","UM","04","","","","","2","0400","4137","","Values entered at the Service Level for this data element override values at the Patient Event Level for that service only."
"C","278-B2","6","0400","UM","04","","","","","2","0400","4212","D","Required when UM04 is not valued at 2000F. If not required by this implementation guide, do not send."
"D","278-B2","6","0400","UM","04","C023","01","","","2","0400","4034","","Use to indicate a facility code value from the code source referenced in UM04-2."
"D","278-B2","6","0400","UM","04","C023","01","","","2","0400","","F","Facility Type Code"
"D","278-B2","6","0400","UM","04","C023","02","","","2","0400","","F","Facility Code Qualifier"
"C","278-B2","6","0400","UM","06","","","","","2","0400","4250","D","Required when valued on the Notification. If not required by this implementation guide, do not send."
"C","278-B2","6","0400","UM","06","","","","","2","0400","","F","Level of Service Code"
"B","278-B2","6","0500","","","","","","","2","0500","3813","E","HCR*A1*19950713~"
"B","278-B2","6","0500","","","","","","","2","0500","4138","A","Health Care Services Review"
"B","278-B2","6","0500","","","","","","","2","0500","4213","","Required when this segment is valued on the notification at the event level. If not required by this implementation guide, do not send."
"B","278-B2","6","0500","","","","","","","2","0500","4214","","If this segment is used, the values in the segment must echo the values contained in the same segment of the notification."
"B","278-B2","6","0500","","","","","","","2","0500","4215","","If the acknowledgment contains Service level information (Loop 2000F) where the HCR segment is valued, the HCR values at the Service level override the HCR values at the Patient Event level for that service only."
"C","278-B2","6","0500","HCR","01","","","","","2","0500","3861","B","Certification Action Code"
"C","278-B2","6","0500","HCR","01","","","","","2","0500","","F","Action Code"
"E","278-B2","6","0500","HCR","01","","","306","A2","2","0500","4139","","Use to identify that the event is only partially certified. Consult HCR01, Loop 2000F for approved, denied or pended services."
"E","278-B2","6","0500","HCR","01","","","306","NA","2","0500","3954","","Use only if certification is not required."
"C","278-B2","6","0500","HCR","02","","","","","2","0500","4216","D","Required when this segment is valued on the notification and the notification contains a value in HCR02 element at the event level. If not required by this implementation guide, do not send."
"C","278-B2","6","0500","HCR","02","","","","","2","0500","","F","Review Identification Number"
"C","278-B2","6","0500","HCR","03","","","","","2","0500","4217","D","Required when this segment is valued on the notification and the notification contains a value in HCR03 element at the event level. If not required by this implementation guide, do not send."
"C","278-B2","6","0500","HCR","03","","","","","2","0500","","F","Review Decision Reason Code"
"C","278-B2","6","0500","HCR","04","","","","","2","0500","4218","D","Required when this segment is valued on the notification and the notification contains a value in HCR04 element at the event level. If not required by this implementation guide, do not send."
"C","278-B2","6","0500","HCR","04","","","","","2","0500","","F","Second Surgical Opinion Indicator"
"B","278-B2","6","0600","","","","","","","2","0600","4140","A","Administrative Reference Number"
"B","278-B2","6","0600","","","","","","","2","0600","4141","E","REF*NT*Y456~"
"B","278-B2","6","0600","","","","","","","2","0600","4219","","Required when the information source of the acknowledgment transaction assigns an administrative reference number at the event loop level. If not required by this implementation guide, do not send."
"B","278-B2","6","0600","","","","","","","2","0600","4220","","This is the administrative number assigned by the Information Sender in an acknowledgment to the original notification at the event level. This is not the trace number assigned by the Information Receiver."
"C","278-B2","6","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","6","0600","REF","02","","","","","2","0600","","F","Administrative Reference Number"
"B","278-B2","6","0610","","","","","","","2","0600","3814","E","REF*BB*A123~"
"B","278-B2","6","0610","","","","","","","2","0600","4142","A","Previous Review Authorization Number"
"B","278-B2","6","0610","","","","","","","2","0600","4221","","Required when valued on the notification at the Event Level or if the acknowledgment information sender has determined that the event level notification is a duplicate of a previously received event notification that has an assigned certification number. If not required by this implementation guide, do not send."
"C","278-B2","6","0610","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","6","0610","REF","02","","","","","2","0600","","F","Previous Review Authorization Number"
"B","278-B2","6","0700","","","","","","","2","0700","4143","A","Event Date"
"B","278-B2","6","0700","","","","","","","2","0700","4144","E","DTP*AAH*D8*20050723~"
"B","278-B2","6","0700","","","","","","","2","0700","4145","","Use this segment for the valid date(s) during which this event can occur. If not required, do not send."
"B","278-B2","6","0700","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0700","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0700","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","6","0700","DTP","03","","","","","2","0700","","F","Proposed or Actual Event Date"
"B","278-B2","6","0705","","","","","","","2","0700","3879","A","Admission Date"
"B","278-B2","6","0705","","","","","","","2","0700","3880","E","DTP*435*D8*20050723~"
"B","278-B2","6","0705","","","","","","","2","0700","3955","","Use this segment for the proposed or actual date of admission."
"B","278-B2","6","0705","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0705","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0705","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"E","278-B2","6","0705","DTP","02","","","1250","RD8","2","0700","3991","","Use this for the range of dates when admission can occur."
"C","278-B2","6","0705","DTP","03","","","","","2","0700","","F","Proposed or Actual Admission Date"
"B","278-B2","6","0710","","","","","","","2","0700","3881","A","Discharge Date"
"B","278-B2","6","0710","","","","","","","2","0700","3882","E","DTP*096*D8*20050724~"
"B","278-B2","6","0710","","","","","","","2","0700","3956","","Use this segment for the proposed or actual date of discharge from a facility."
"B","278-B2","6","0710","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0710","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0710","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","6","0710","DTP","03","","","","","2","0700","","F","Proposed or Actual Discharge Date"
"B","278-B2","6","0715","","","","","","","2","0700","3966","","Use this segment for the date when the certification was issued."
"B","278-B2","6","0715","","","","","","","2","0700","3967","E","DTP*102*D8*20050701~"
"B","278-B2","6","0715","","","","","","","2","0700","3968","A","Certification Issue Date"
"B","278-B2","6","0715","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0715","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0715","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","6","0715","DTP","03","","","","","2","0700","","F","Certification Issue Date"
"B","278-B2","6","0720","","","","","","","2","0700","3883","A","Certification Expiration Date"
"B","278-B2","6","0720","","","","","","","2","0700","3884","E","DTP*036*D8*20050731~"
"B","278-B2","6","0720","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0720","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0720","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","6","0720","DTP","03","","","","","2","0700","","F","Certification Expiration Date"
"B","278-B2","6","0725","","","","","","","2","0700","3974","A","Certification Effective Date"
"B","278-B2","6","0725","","","","","","","2","0700","3992","E","DTP*007*RD8*20050701-20050731~"
"B","278-B2","6","0725","","","","","","","2","0700","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","6","0725","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-B2","6","0725","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-B2","6","0725","DTP","03","","","","","2","0700","","F","Certification Effective Date"
"B","278-B2","6","0800","","","","","","","2","0800","4037","E","HI*BF:41090~"
"B","278-B2","6","0800","","","","","","","2","0800","4146","A","Patient Diagnosis"
"B","278-B2","6","0800","","","","","","","2","0800","4222","","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"B","278-B2","6","0800","","","","","","","2","0800","4223","","This segment is used to hold the event level diagnosis code information that was part of the notification transaction."
"C","278-B2","6","0800","HI","01","","","","","2","0800","3823","B","Diagnosis 1"
"D","278-B2","6","0800","HI","01","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","01","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-B2","6","0800","HI","01","C022","03","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","01","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-B2","6","0800","HI","01","C022","04","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","01","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-B2","6","0800","HI","02","","","","","2","0800","3839","B","Diagnosis 2"
"C","278-B2","6","0800","HI","02","","","","","2","0800","4222","D","Required when valued on the notification and the notification is not valid at this level. If not required by this implementation guide, do not send."
"D","278-B2","6","0800","HI","02","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-B2","6","0800","HI","02","C022","02","","","2","0800","","F","Diagnosis Code"
